LOG_NAME,LOG_DESC,FIELD_NAME,FIELD_TYPE,FIELD_DESC
intel.log,Intelligence data matches,file_mime_type,string &log &optional,(present if base/frameworks/intel/files.zeek is loaded) A mime type if the intelligence hit is related to a file. If the $f field is provided this will be automatically filled out. 
intel.log,Intelligence data matches,id,conn_id &log &optional,If a connection was associated with this intelligence hit， this is the conn_id for the connection. 
intel.log,Intelligence data matches,seen,Intel::Seen &log,Where the data was seen. 
intel.log,Intelligence data matches,file_desc,string &log &optional,(present if base/frameworks/intel/files.zeek is loaded) Frequently files can be "described" to give a bit more context. If the $f field is provided this field will be automatically filled out. 
intel.log,Intelligence data matches,fuid,string &log &optional,(present if base/frameworks/intel/files.zeek is loaded) If a file was associated with this intelligence hit， this is the uid for the file. 
intel.log,Intelligence data matches,matched,Intel::TypeSet &log,Which indicator types matched. 
intel.log,Intelligence data matches,sources,set [string] &log &default = {  } &optional,Sources which supplied data that resulted in this match. 
intel.log,Intelligence data matches,cif,Intel::CIF &log &optional,(present if policy/integration/collective-intel/main.zeek is loaded) 
intel.log,Intelligence data matches,ts,time &log,Timestamp when the data was discovered. 
intel.log,Intelligence data matches,uid,string &log &optional,If a connection was associated with this intelligence hit， this is the uid for the connection 
notice_alarm.log,The alarm stream,remote_location,geo_location &log &optional,(present if base/frameworks/notice/actions/add-geodata.zeek is loaded) If GeoIP support is built in， notices can have geographic information attached to them. 
notice_alarm.log,The alarm stream,p,port &log &optional,Associated port， if we don't have a conn_id. 
notice_alarm.log,The alarm stream,fuid,string &log &optional,A file unique ID if this notice is related to a file.  If the f field is provided， this will be automatically filled out. 
notice_alarm.log,The alarm stream,src,addr &log &optional,Source address， if we don't have a conn_id. 
notice_alarm.log,The alarm stream,file_desc,string &log &optional,Frequently files can be "described" to give a bit more context.  This field will typically be automatically filled out from an fa_file record.  For example， if a notice was related to a file over HTTP， the URL of the request would be shown. 
notice_alarm.log,The alarm stream,proto,transport_proto &log &optional,The transport protocol. Filled automatically when either conn， iconn or p is specified. 
notice_alarm.log,The alarm stream,dst,addr &log &optional,Destination address. 
notice_alarm.log,The alarm stream,dropped,bool &log &default = F &optional,(present if policy/frameworks/notice/actions/drop.zeek is loaded) Indicate if the $src IP address was dropped and denied network access. 
