LOG_NAME,LOG_DESC,FIELD_NAME,FIELD_TYPE,FIELD_DESC
conn.log,TCP/UDP/ICMP connections,id,conn_id &log,The connection's 4-tuple of endpoint addresses/ports. 
conn.log,TCP/UDP/ICMP connections,uid,string &log,A unique identifier of the connection. 
conn.log,TCP/UDP/ICMP connections,ts,time &log,This is the time of the first packet. 
conn.log,TCP/UDP/ICMP connections,speculative_service,string &log &optional,(present if policy/protocols/conn/speculative-service.zeek is loaded) Protocol that was determined by a matching signature after the beginning of a connection. In this situation no analyzer can be attached and hence the data cannot be analyzed nor the protocol can be confirmed. 
conn.log,TCP/UDP/ICMP connections,inner_vlan,int &log &optional,(present if policy/protocols/conn/vlan-logging.zeek is loaded) The inner VLAN for this connection， if applicable. 
conn.log,TCP/UDP/ICMP connections,vlan,int &log &optional,(present if policy/protocols/conn/vlan-logging.zeek is loaded) The outer VLAN for this connection， if applicable. 
conn.log,TCP/UDP/ICMP connections,resp_l2_addr,string &log &optional,(present if policy/protocols/conn/mac-logging.zeek is loaded) Link-layer address of the responder， if available. 
conn.log,TCP/UDP/ICMP connections,orig_l2_addr,string &log &optional,(present if policy/protocols/conn/mac-logging.zeek is loaded) Link-layer address of the originator， if available. 
conn.log,TCP/UDP/ICMP connections,tunnel_parents,set [string] &log &optional,If this connection was over a tunnel， indicate the uid values for any encapsulating parent connections used over the lifetime of this inner connection. 
conn.log,TCP/UDP/ICMP connections,resp_ip_bytes,count &log &optional,Number of IP level bytes that the responder sent (as seen on the wire， taken from the IP total_length header field). Only set if use_conn_size_analyzer = T. 
conn.log,TCP/UDP/ICMP connections,resp_pkts,count &log &optional,Number of packets that the responder sent. Only set if use_conn_size_analyzer = T. 
conn.log,TCP/UDP/ICMP connections,orig_ip_bytes,count &log &optional,Number of IP level bytes that the originator sent (as seen on the wire， taken from the IP total_length header field). Only set if use_conn_size_analyzer = T. 
conn.log,TCP/UDP/ICMP connections,orig_pkts,count &log &optional,Number of packets that the originator sent. Only set if use_conn_size_analyzer = T. 
conn.log,TCP/UDP/ICMP connections,history,string &log &optional,Records the state history of connections as a string of letters.  The meaning of those letters is:       Letter Meaning    s a SYN w/o the ACK bit set  h a SYN+ACK ("handshake")  a a pure ACK  d packet with payload ("data")  f packet with FIN bit set  r packet with RST bit set  c packet with a bad checksum (applies to UDP too)  g a content gap  t packet with retransmitted payload  w packet with a zero window advertisement  i inconsistent packet (e.g. FIN+RST bits set)  q multi-flag packet (SYN+FIN or SYN+RST bits set)  ^ connection direction was flipped by Zeek's heuristic    If the event comes from the originator， the letter is in upper-case; if it comes from the responder， it's in lower-case.  The 'a'， 'd'， 'i' and 'q' flags are recorded a maximum of one time in either direction regardless of how many are actually seen.  'f'， 'h'， 'r' and 's' can be recorded multiple times for either direction if the associated sequence number differs from the last-seen packet of the same flag type. 'c'， 'g'， 't' and 'w' are recorded in a logarithmic fashion: the second instance represents that the event was seen (at least) 10 times; the third instance， 100 times; etc. 
conn.log,TCP/UDP/ICMP connections,missed_bytes,count &log &default = 0 &optional,Indicates the number of bytes missed in content gaps， which is representative of packet loss.  A value other than zero will normally cause protocol analysis to fail but some analysis may have been completed prior to the packet loss. 
conn.log,TCP/UDP/ICMP connections,local_resp,bool &log &optional,If the connection is responded to locally， this value will be T. If it was responded to remotely it will be F.  In the case that the Site::local_nets variable is undefined， this field will be left empty at all times. 
conn.log,TCP/UDP/ICMP connections,local_orig,bool &log &optional,If the connection is originated locally， this value will be T. If it was originated remotely it will be F.  In the case that the Site::local_nets variable is undefined， this field will be left empty at all times. 
conn.log,TCP/UDP/ICMP connections,conn_state,string &log &optional,Possible conn_state values:  S0: Connection attempt seen， no reply. S1: Connection established， not terminated. SF: Normal establishment and termination. Note that this is the same symbol as for state S1. You can tell the two apart because for S1 there will not be any byte counts in the summary， while for SF there will be. REJ: Connection attempt rejected. S2: Connection established and close attempt by originator seen (but no reply from responder). S3: Connection established and close attempt by responder seen (but no reply from originator). RSTO: Connection established， originator aborted (sent a RST). RSTR: Responder sent a RST. RSTOS0: Originator sent a SYN followed by a RST， we never saw a SYN-ACK from the responder. RSTRH: Responder sent a SYN ACK followed by a RST， we never saw a SYN from the (purported) originator. SH: Originator sent a SYN followed by a FIN， we never saw a SYN ACK from the responder (hence the connection was "half" open). SHR: Responder sent a SYN ACK followed by a FIN， we never saw a SYN from the originator. OTH: No SYN seen， just midstream traffic (one example of this is a "partial connection" that was not later closed).  
conn.log,TCP/UDP/ICMP connections,resp_bytes,count &log &optional,The number of payload bytes the responder sent. See orig_bytes. 
conn.log,TCP/UDP/ICMP connections,service,string &log &optional,An identification of an application protocol being sent over the connection. 
conn.log,TCP/UDP/ICMP connections,orig_bytes,count &log &optional,The number of payload bytes the originator sent. For TCP this is taken from sequence numbers and might be inaccurate (e.g.， due to large connections). 
conn.log,TCP/UDP/ICMP connections,duration,interval &log &optional,How long the connection lasted.  For 3-way or 4-way connection tear-downs， this will not include the final ACK. 
conn.log,TCP/UDP/ICMP connections,proto,transport_proto &log,The transport layer protocol of the connection. 
dce_rpc.log,Distributed Computing Environment/RPC,id,conn_id &log,The connection's 4-tuple of endpoint addresses/ports. 
dce_rpc.log,Distributed Computing Environment/RPC,rtt,interval &log &optional,Round trip time from the request to the response. If either the request or response wasn't seen， this will be null. 
dce_rpc.log,Distributed Computing Environment/RPC,operation,string &log &optional,Operation seen in the call. 
dce_rpc.log,Distributed Computing Environment/RPC,uid,string &log,Unique ID for the connection. 
dce_rpc.log,Distributed Computing Environment/RPC,ts,time &log,Timestamp for when the event happened. 
dce_rpc.log,Distributed Computing Environment/RPC,named_pipe,string &log &optional,Remote pipe name. 
dce_rpc.log,Distributed Computing Environment/RPC,endpoint,string &log &optional,Endpoint name looked up from the uuid. 
dhcp.log,DHCP leases,server_software,string &log &optional,(present if policy/protocols/dhcp/software.zeek is loaded) Software reported by the server in the vendor_class option. 
dhcp.log,DHCP leases,client_software,string &log &optional,(present if policy/protocols/dhcp/software.zeek is loaded) Software reported by the client in the vendor_class option. 
dhcp.log,DHCP leases,client_addr,addr &log &optional,IP address of the client.  If a transaction is only a client sending INFORM messages then there is no lease information exchanged so this is helpful to know who sent the messages. Getting an address in this field does require that the client sources at least one DHCP message using a non-broadcast address. 
dhcp.log,DHCP leases,uids,set [string] &log,A series of unique identifiers of the connections over which DHCP is occurring.  This behavior with multiple connections is unique to DHCP because of the way it uses broadcast packets on local networks. 
dhcp.log,DHCP leases,mac,string &log &optional,Client's hardware address. 
dhcp.log,DHCP leases,client_port,port &optional,Client port number seen at time of server handing out IP (expected as 68/udp). 
dhcp.log,DHCP leases,subscriber_id,string &log &optional,(present if policy/protocols/dhcp/sub-opts.zeek is loaded) The subscriber ID is a value independent of the physical network configuration so that a customer's DHCP configuration can be given to them correctly no matter where they are physically connected. 
dhcp.log,DHCP leases,ts,time &log,The earliest time at which a DHCP message over the associated connection is observed. 
dhcp.log,DHCP leases,server_addr,addr &log &optional,IP address of the server involved in actually handing out the lease.  There could be other servers replying with OFFER messages which won't be represented here.  Getting an address in this field also requires that the server handing out the lease also sources packets from a non-broadcast IP address. 
